Name,Rk,G,Date,Age,Tm,Venue,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
Jaylen Brown,12,11,9/11/2018,22-016,BOS,Away,UTA,L (-8),1,29:54:00,4,17,0.235,1,7,0.143,0,0,,1,3,4,1,0,1,0,4,9,0.1,-17
Jaylen Brown,13,12,11/11/2018,22-018,BOS,Away,POR,L (-6),1,28:37:00,2,7,0.286,1,4,0.25,2,2,1,0,1,1,0,1,0,2,3,7,1,-10
Jaylen Brown,14,13,14/11/2018,22-021,BOS,Home,CHI,W (+29),1,25:23:00,8,14,0.571,2,4,0.5,0,0,,0,6,6,3,1,0,3,1,18,12.9,12
Jaylen Brown,15,14,16/11/2018,22-023,BOS,Home,TOR,W (+7),1,25:20:00,3,11,0.273,1,5,0.2,0,0,,3,1,4,0,0,1,2,2,7,0.8,3
Jaylen Brown,16,15,17/11/2018,22-024,BOS,Home,UTA,L (-12),1,24:43:00,1,9,0.111,1,6,0.167,0,0,,2,1,3,1,0,0,0,2,3,-1.3,-7
Jaylen Brown,17,16,19/11/2018,22-026,BOS,Away,CHO,L (-5),1,19:25,4,6,0.667,1,3,0.333,1,2,0.5,0,2,2,2,0,1,0,2,10,8.9,5
Jaylen Brown,18,17,21/11/2018,22-028,BOS,Home,NYK,L (-8),1,25:58:00,4,10,0.4,0,3,0,3,6,0.5,1,4,5,0,2,2,2,2,11,6.9,-15
Jaylen Brown,19,18,23/11/2018,22-030,BOS,Away,ATL,W (+18),1,21:18,4,7,0.571,0,3,0,2,4,0.5,1,1,2,3,2,0,2,2,10,8.2,
Jaylen Brown,1,1,17/10/2017,20-358,BOS,Away,CLE,L (-3),1,39:36:00,11,23,0.478,2,9,0.222,1,2,0.5,1,5,6,0,2,0,3,5,25,12.1,-5
Jaylen Brown,2,2,18/10/2017,20-359,BOS,Home,MIL,L (-8),1,28:09:00,6,11,0.545,2,3,0.667,4,5,0.8,1,4,5,3,0,0,0,6,18,13.9,0
Jaylen Brown,3,3,20/10/2017,20-361,BOS,Away,PHI,W (+10),1,36:56:00,4,13,0.308,1,4,0.25,0,3,0,0,8,8,0,2,0,0,2,9,3.9,15
Jaylen Brown,4,4,24/10/2017,21-000,BOS,Home,NYK,W (+21),1,32:07:00,9,16,0.563,3,6,0.5,2,3,0.667,0,4,4,0,1,1,0,4,23,16.3,11
